Date,Open,High,Low,Close,Volume,Market Cap
Aug-29-2017,1.00253,1.01681,0.99569,1.00152,117896390.24390244,320170944.77003485
Aug-30-2017,1.0017,1.00721,0.996119,1.00074,136704159.7222222,319981727.3298611
Aug-31-2017,1.00006,1.00823,0.999514,1.00312,102273411.38790035,320296518.0960854
Sep-01-2017,1.00405,1.01373,1.00054,1.00437,143468128.4722222,321123051.3611111
Sep-02-2017,1.00459,1.04082,0.998739,1.01788,295487592.33449477,333026939.6585366
Sep-03-2017,1.01406,1.02787,0.99962,1.00223,269574927.0833333,354929931.2395833
Sep-04-2017,1.00259,1.04513,0.997741,1.03055,249435937.28222996,371636500.83972126
Sep-05-2017,1.02633,1.04426,0.999893,1.00423,354631311.41868514,387261986.39446366
Sep-06-2017,1.0059,1.04522,1.00068,1.00509,232464468.53146854,389293330.4895105
Sep-07-2017,1.00384,1.01247,0.99577,1.00135,178053978.64768684,391998069.37366545
Sep-08-2017,1.00175,1.05077,0.997327,1.00689,191822208.33333334,396965784.5972222
Sep-09-2017,1.01301,1.015,0.99837,1.00125,270529696.8641115,400776089.8780488
Sep-10-2017,1.00343,1.0206,0.99618,1.00545,139847519.16376308,406407441.6167247
Sep-11-2017,1.0041,1.01853,0.990974,1.00107,153672895.4703833,404188291.83623695
Sep-12-2017,1.00126,1.01509,0.996226,1.00529,122617055.55555555,404270991.2708333
Sep-13-2017,1.00163,1.02105,0.991963,1.00254,231186515.6794425,411069266.5888502
Sep-14-2017,1.00269,1.02614,0.979949,1.00313,259912256.94444445,417261944.6666667
Sep-15-2017,1.00378,1.03025,0.966404,1.00537,467199815.9722222,429886976.90625
Sep-16-2017,1.00254,1.03611,0.99121,1.00199,417584383.27526134,445304978.4425087
Sep-17-2017,1.00733,1.01442,0.992028,1.00657,161142319.44444445,444422195.1631944
Sep-18-2017,1.00221,1.01258,0.992399,1.00241,177307979.16666666,443459357.5104167
Sep-19-2017,1.00172,1.01367,0.995487,1.00185,183130135.88850173,443645417.8432056
Sep-20-2017,1.00432,1.005,0.988993,1.00454,136271526.13240418,442918131.31707317
Sep-21-2017,0.997446,1.01523,0.994434,1.00472,166666420.1388889,443825284.5381944
Sep-22-2017,1.00516,1.01201,0.998901,1.00459,212864066.2020906,444376018.77351916
Sep-23-2017,1.00081,1.01016,0.997654,1.00209,142001414.63414633,443731177.0418118
Sep-24-2017,1.00179,1.00885,0.9991,1.00293,108910350.34722222,443816598.9097222
Sep-25-2017,1.00316,1.00753,0.984388,1.0013,115554558.53658536,443285934.22648084
Sep-26-2017,1.00084,1.00653,0.995946,1.00259,140623500,438906559.6909722
Sep-27-2017,1.00128,1.00406,0.991286,1.00064,138036018.46689895,426826177.6062718
Sep-28-2017,1.00009,1.01183,0.995264,1.00179,239694781.25,427826598.3923611
Sep-29-2017,0.998357,1.0209,0.982471982,0.989148256,196543814.26330426,429032531.43537414
Sep-30-2017,0.989181617,0.992483069,0.980976598,0.988394014,88956453.16874048,0
Oct-01-2017,0.988586971,0.999088757,0.985465669,0.988679322,70980904.11580977,0
Oct-02-2017,0.98877595,1.001717361,0.986983367,0.997233348,74701791.60974815,0
Oct-03-2017,0.995622504,1.021681883,0.992458842,1.002712396,82395445.7535811,0
Oct-04-2017,1.001023936,1.009230761,0.994896893,1.006013205,69287520.56300722,0
Oct-05-2017,1.004413813,1.010200685,0.994813808,0.997738047,70897404.4014704,0
Oct-06-2017,0.996033388,1.000766928,0.991833316,0.995489561,65748036.098569185,0
Oct-07-2017,0.99532334,1.000584722,0.988089528,0.992310521,52218720.54087483,0
Oct-08-2017,0.992691784,0.997007406,0.988381883,0.993981501,63554400.18660701,0
Oct-09-2017,0.993610069,1.004521618,0.959893489,0.998864222,98865225.22824351,0
Oct-10-2017,0.998222548,1.008397007,0.949297908,1.001879911,118148629.64839338,0
Oct-11-2017,1.002252165,1.004785374,0.993432591,0.997633884,79642974.15128398,0
Oct-12-2017,0.997255716,1.001796311,0.982062221,1.00060251,8280179.006367537,0
Oct-13-2017,1.002376863,1.007898237,0.977547496,0.993976638,4902987.121314077,0
Oct-14-2017,0.999151754,1.004113041,0.986702421,0.996115113,4195486.00441998,0
Oct-15-2017,0.993208471,1.003937237,0.96875512,0.996069451,17786546.12748699,0
Oct-16-2017,0.996952474,0.999654366,0.98695862,0.994525692,146106206.34306476,0
Oct-17-2017,0.995806645,1.00360227,0.982781612,1.001974865,143279614.2876556,0
Oct-18-2017,1.000660207,1.014083273,0.967984228,1.004526823,159948137.97136608,0
Oct-19-2017,1.005063823,1.008335302,0.988736939,0.994248338,139011037.87510073,0
Oct-20-2017,0.993426227,1.005142324,0.990944983,0.998941107,90469332.32233816,0
Oct-21-2017,0.998996292,1.015793802,0.99070116,1.005517011,128140170.79423854,0
Oct-22-2017,1.005749368,1.011509284,0.995680135,1.007318789,117778620.98200138,0
Oct-23-2017,1.007354209,1.012234588,0.98999418,0.998222996,101999994.13120784,0
Oct-24-2017,0.999672433,1.009004363,0.984843958,1.005714064,184392549.19247416,0
Oct-25-2017,1.004901708,1.010009357,0.998549156,1.001177817,127025847.30206451,0
Oct-26-2017,1.001230356,1.009351483,0.997539891,1.002176875,98135067.92802529,0
Oct-27-2017,1.003191724,1.005036317,0.996413652,1.001293469,97213461.523379,0
Oct-28-2017,1.002031152,1.010571482,0.997075908,1.004272134,71667713.94268912,0
Oct-29-2017,1.005255363,1.009892171,0.993063829,0.994102414,91652507.70908222,0
Oct-30-2017,0.995144553,0.99941499,0.986932086,0.990957253,142098646.84675017,0
Oct-31-2017,0.991338329,0.998534326,0.987926936,0.998534326,83742565.14576888,0
Nov-01-2017,0.99801748,1.008005691,0.994970866,1.008005691,120063741.8961399,0
Nov-02-2017,1.005885148,1.047423111,1.005885148,1.009132986,238417800.47867012,0
Nov-03-2017,1.011064079,1.020174804,1.003359733,1.010111863,247934980.1389796,0
Nov-04-2017,1.012840176,1.02064206,1.000131719,1.006166853,184810616.53937882,0
Nov-05-2017,1.003901103,1.010669862,0.997611327,1.003008791,116210445.70314638,0
Nov-06-2017,1.00104765,1.018942844,1.00104765,1.013816389,150648265.6472988,0
Nov-07-2017,1.014700538,1.015983678,0.999816628,1.009721234,160789218.16671702,0
Nov-08-2017,1.011717517,1.041741333,0.996814271,1.017897797,163053218.2736433,-1
Nov-09-2017,1.015167418,1.019722549,1.005440692,1.019201878,321306097.6584864,0
Nov-10-2017,1.015228313,1.027818682,1.003206964,1.010045559,282923717.2142015,0
Nov-11-2017,1.009795109,1.020417922,1.000890274,1.007909547,526845993.6321681,0
Nov-12-2017,1.008591947,1.037326019,0.968881952,1.025160738,867841738.3131801,0
Nov-13-2017,1.027587048,1.035646158,1.014354155,1.015571022,696174719.6137944,0
Nov-14-2017,1.017609373,1.024064237,1.010514568,1.014853743,382501441.8820779,-1
Nov-15-2017,1.016548813,1.018664386,1.005458164,1.011011794,240911309.2621459,0
Nov-16-2017,1.010356407,1.016299048,0.996849086,0.999442606,281933881.1532302,0
Nov-17-2017,0.998387593,1.012028236,0.997539588,1.002151881,416565974.3647383,-1
Nov-18-2017,1.003751256,1.006187133,0.996447757,0.999086319,345865492.62712955,-1
