Date,Open,High,Low,Close,Volume,Market Cap
Aug-17-2019,10342.093377563,10450.078170007,10076.206821184,10220.070168212,17156270391.706024,184241890705.49374
Jul-18-2019,9677.323024453,10701.623245608,9364.276558339,10629.023332162,25669828327.11842,178832953360.38275
Jun-18-2019,9341.199474731,9353.32056726,9042.990003328,9125.090764169,18912820365.162624,163376166883.90408
May-19-2019,7328.418962598,8237.723663509,7328.418962598,8186.662732404,18965835929.185444,140199101489.5413
Apr-19-2019,5308.334719082,5349.185233082,5253.519638981,5317.962149987,10722417914.922018,93456046168.8589
Mar-20-2019,4036.494784049,4078.511718087,4012.040945943,4075.319876766,6972695205.772387,71028307327.02095
Feb-18-2019,3628.785108355,3891.033233383,3622.629503935,3858.949361197,5319393065.773327,65846716576.81079
Jan-19-2019,3652.353731181,3766.801866732,3650.958251016,3735.953787486,3689835108.3852115,64957741160.175644
Dec-20-2018,3716.951289636,4149.982112244,3701.497818021,4103.258581528,5608484489.432625,68730841610.71579
Nov-20-2018,4871.837128436,4970.283673371,4274.174493715,4470.86406818,6200899670.273817,80505402156.33786
Oct-21-2018,6465.940550179,6505.716811461,6429.063841525,6475.861331941,2678968945.046221,112505396344.03522
Sep-21-2018,6493.152931427,6752.404966008,6493.152931427,6744.696981129,4903492828.541768,114817041723.9458
Aug-22-2018,6481.300215756,6820.081466748,6319.848349671,6376.530713944,3605706790.047852,113589812746.94888
Jul-23-2018,7386.710266104,7753.766990612,7375.794246766,7712.930731944,4687601679.596329,131428842715.59035
Jun-23-2018,6073.054271142,6244.375949169,6070.106576437,6156.30026398,4089480599.8167887,104886130046.06256
May-24-2018,7558.332248074,7740.093094955,7340.474586303,7576.278751944,4962607292.142311,128983159056.4206
Apr-24-2018,8927.498952717,9715.110087646,8924.774677074,9715.110087646,7015588899.813644,158243944130.89832
Mar-25-2018,8554.421564965,8680.428839237,8425.566950814,8466.556129044,3029683211.9522142,146027822374.36108
Feb-23-2018,9972.72335964,10493.769149903,9732.257318424,10348.067628802,4784103251.902329,170839836666.23145
Jan-24-2018,10821.591111563,10821.591111563,10821.591111563,10821.591111563,8473730459.792883,182164267415.07
Dec-25-2017,13868.871856886,14663.416829383,13044.101982054,13965.211657038,9706645690.309687,235117450940.96014
Nov-25-2017,8264.411949629,8820.874113671,8225.061712247,8820.874113671,3764586979.14704,142063750452.1364
Oct-26-2017,5720.446474631,5955.709382936,5684.729787348,5897.44143375,1826168891.6167548,97288968624.33589
Sep-26-2017,3926.07,3969.89,3869.9,3894.73,1228778118.466899,65105337739.757256
Aug-27-2017,4352.4,4416.59,4317.29,4379.94,1494478105.2631578,71990197747.98267
Jul-28-2017,2671.78,2897.45,2671.78,2809.01,1187123459.9303136,45662635660.31984
Jun-28-2017,2552.45,2603.98,2484.42,2582.24,1368180714.2857144,41716600486.62775
May-29-2017,2155.8,2307.05,2107.17,2248.67,941405114.5833334,36058892128.26455
Apr-29-2017,1316.48,1327.2,1315.21,1321.53,458149631.9444444,21567974759.863617
Mar-30-2017,1039.97,1049.29,1020.04,1026.28,294159104.5296167,16803351867.267965
Feb-28-2017,1179.97,1193.25,1171.82,1179.74,166211258.74125874,19122174591.153515
Jan-29-2017,921.59,923.418,919.148,919.518,59983756.597222224,14879590267.177828
Dec-30-2016,973.497,973.497,934.833,961.107,200429167.24738675,15353788149.868174
Nov-30-2016,735.604,747.929,735.604,745.715,71909452.77777778,11913320626.839434
Oct-31-2016,701.864,709.289,691.682,701.018,96114875,11223992425.694876
Oct-01-2016,609.735,615.237,609.735,613.965,57101440.972222224,9747090284.345655
Sep-01-2016,575.472,576.311,571.814,572.28,80798229.5138889,9086102203.303127
Aug-02-2016,606.272,612.848,531.334,543.942,196876222.9965157,9411305736.345657
